,nameWithOwner,createdAt,stargazerCount,forkCount,url,releases.totalCount,primaryLanguage.name,watchers.totalCount,loc_data.source_loc,loc_data.single_comments_loc,loc_data.single_docstring_loc,loc_data.double_docstring_loc,loc_data.total_comments_loc,loc_data.blank_loc,loc_data.total_line_count
132,lyzMaster/deepgta5,2018-04-26T15:43:39Z,9,4,https://github.com/lyzMaster/deepgta5,0,Python,1,,,,,,,
133,jsayles/CoworkingDB,2010-09-02T18:36:43Z,9,1,https://github.com/jsayles/CoworkingDB,0,Python,1,,,,,,,
134,AFRL-RY/Explore-Coarse-3D-Reconstruction-Path-Planning-ATRC-Summer-2017,2017-10-03T12:01:04Z,9,1,https://github.com/AFRL-RY/Explore-Coarse-3D-Reconstruction-Path-Planning-ATRC-Summer-2017,0,Python,2,,,,,,,
135,asharma353/Anomaly-Detection-by-Netflow-and-DNS-Analysis-of-Alexa-1M-websites,2016-09-06T22:30:41Z,9,14,https://github.com/asharma353/Anomaly-Detection-by-Netflow-and-DNS-Analysis-of-Alexa-1M-websites,0,Python,3,,,,,,,
136,CSB5/shotgun-metagenomics-pipeline,2015-11-09T10:42:49Z,9,3,https://github.com/CSB5/shotgun-metagenomics-pipeline,0,Python,6,,,,,,,
137,stadtgestalten/stadtgestalten,2016-07-21T02:28:55Z,8,4,https://github.com/stadtgestalten/stadtgestalten,0,Python,3,,,,,,,
138,thousandparsec/tpclient-pywx,2010-04-17T14:58:01Z,8,6,https://github.com/thousandparsec/tpclient-pywx,0,Python,0,,,,,,,
139,taylorludwig/Resolutions-Alfred,2013-07-24T23:54:13Z,8,0,https://github.com/taylorludwig/Resolutions-Alfred,0,Python,1,,,,,,,
140,abhijithasokan/Cusat-BTech-Result-Scraper,2017-01-12T14:48:21Z,8,1,https://github.com/abhijithasokan/Cusat-BTech-Result-Scraper,0,Python,1,,,,,,,
141,sandeep-krishnamurthy/MovieSuccessPrediction,2013-11-01T08:20:41Z,8,8,https://github.com/sandeep-krishnamurthy/MovieSuccessPrediction,0,Python,5,,,,,,,
142,rrmerugu/django-postgres-elasticsearch,2018-03-04T04:08:04Z,7,6,https://github.com/rrmerugu/django-postgres-elasticsearch,0,Python,1,,,,,,,
143,netscaler/neutron,2013-09-27T16:48:24Z,7,1,https://github.com/netscaler/neutron,0,Python,3,,,,,,,
144,pablomc88/Primate_Visual_System,2017-06-08T09:30:08Z,7,0,https://github.com/pablomc88/Primate_Visual_System,0,Python,3,,,,,,,
145,rahulthawal/Finding-Object-by-Robotic-Arm,2016-07-23T19:08:42Z,7,2,https://github.com/rahulthawal/Finding-Object-by-Robotic-Arm,0,Python,3,,,,,,,
146,jonasnick/ReceptiveFields,2013-02-12T00:11:06Z,6,9,https://github.com/jonasnick/ReceptiveFields,0,Python,2,,,,,,,
147,vaibhavmule/django-uuid-primary-key,2017-10-23T07:40:48Z,6,2,https://github.com/vaibhavmule/django-uuid-primary-key,2,Python,1,,,,,,,
148,bolstycjw/odoo-s3-storage,2017-02-02T02:01:44Z,6,24,https://github.com/bolstycjw/odoo-s3-storage,0,Python,4,,,,,,,
149,tvanesse/odoo-s3,2016-08-10T12:32:59Z,6,10,https://github.com/tvanesse/odoo-s3,0,Python,0,,,,,,,
150,YanZiBuGuiCHunShiWan/Primary_machinelearning,2020-05-09T09:00:33Z,6,1,https://github.com/YanZiBuGuiCHunShiWan/Primary_machinelearning,0,Python,1,,,,,,,
151,gunnbr/gthx,2015-12-28T21:28:24Z,6,4,https://github.com/gunnbr/gthx,0,Python,2,,,,,,,
152,NexoDevelopment/MK8_Exploit,2020-01-18T18:26:36Z,6,0,https://github.com/NexoDevelopment/MK8_Exploit,0,Python,2,,,,,,,
153,sensviz7/Reinforcement-Learning-via-DQN-Agent-Carla,2020-08-13T19:54:27Z,6,0,https://github.com/sensviz7/Reinforcement-Learning-via-DQN-Agent-Carla,0,Python,5,,,,,,,
154,dandelany/tweetalyze,2012-04-28T22:23:23Z,6,1,https://github.com/dandelany/tweetalyze,0,Python,3,,,,,,,
155,samueljackson92/twitter-data-miner,2012-12-18T12:09:59Z,6,2,https://github.com/samueljackson92/twitter-data-miner,0,Python,0,,,,,,,
156,usnistgov/MUD-PD,2019-07-16T19:31:21Z,6,2,https://github.com/usnistgov/MUD-PD,0,Python,1,,,,,,,
157,iuscommunity/repodataParser,2012-11-28T17:16:39Z,5,5,https://github.com/iuscommunity/repodataParser,0,Python,3,,,,,,,
158,ratt-ru/eidos,2017-11-14T14:17:07Z,5,2,https://github.com/ratt-ru/eidos,6,Python,8,,,,,,,
159,usaa/vogel,2018-12-03T18:14:20Z,5,4,https://github.com/usaa/vogel,0,Python,2,,,,,,,
160,martinohanlon/SpaceCRAFT,2015-05-14T12:26:34Z,5,3,https://github.com/martinohanlon/SpaceCRAFT,0,Python,1,,,,,,,
161,YodaEmbedding/language-detector,2017-11-02T22:19:47Z,5,2,https://github.com/YodaEmbedding/language-detector,0,Python,1,,,,,,,
162,dodoyuan/CongestionControlInSDN,2018-03-12T03:01:51Z,5,4,https://github.com/dodoyuan/CongestionControlInSDN,0,Python,0,,,,,,,
163,RigidBit/www2png,2020-01-10T06:35:08Z,5,1,https://github.com/RigidBit/www2png,0,Python,1,,,,,,,
164,saxix/django-uuid-pk,2013-08-11T11:35:35Z,5,1,https://github.com/saxix/django-uuid-pk,0,Python,1,,,,,,,
165,joedeller/pymine,2015-01-17T14:44:55Z,5,0,https://github.com/joedeller/pymine,0,Python,2,,,,,,,
166,VertNet/api-geospatial,2015-11-19T10:17:29Z,5,1,https://github.com/VertNet/api-geospatial,0,Python,5,,,,,,,
167,manexagirrezabal/athenarhythm,2015-03-14T19:36:16Z,5,1,https://github.com/manexagirrezabal/athenarhythm,0,Python,1,,,,,,,
168,PrudhviRaj12/In-Depth-Question-Classification-Using-Convolutional-Neural-Networks,2017-05-13T02:33:06Z,5,5,https://github.com/PrudhviRaj12/In-Depth-Question-Classification-Using-Convolutional-Neural-Networks,0,Python,2,,,,,,,
169,madan-ram/Artificial-Neural-Network,2015-04-21T07:39:00Z,5,1,https://github.com/madan-ram/Artificial-Neural-Network,0,Python,3,,,,,,,
170,RawVendetta/GatewayFinder,2019-09-30T17:14:09Z,5,0,https://github.com/RawVendetta/GatewayFinder,0,Python,1,,,,,,,
171,Cadair/PriMaRY-JOVE,2012-03-12T23:17:08Z,4,0,https://github.com/Cadair/PriMaRY-JOVE,0,Python,4,,,,,,,
172,miaojie19/flask-course-primary,2019-05-14T02:35:30Z,4,1,https://github.com/miaojie19/flask-course-primary,0,Python,0,,,,,,,
173,kronosapiens/twitter-research,2016-01-24T21:08:29Z,4,3,https://github.com/kronosapiens/twitter-research,0,Python,1,,,,,,,
174,jnpkrn/clufter,2014-09-12T07:25:25Z,4,2,https://github.com/jnpkrn/clufter,0,Python,3,,,,,,,
